,Tid,Kanal A
367,0.75035998,1.218627
368,0.75239998,1.312438
369,0.75443998,1.312438
370,0.75647998,0.749877
371,0.75851998,1.031004
372,0.76055998,0.8436885
373,0.76259998,0.9375
374,0.76463998,1.593565
375,0.76667998,1.031004
376,0.76871998,1.312438
377,0.77075998,1.218627
378,0.77279998,0.749877
379,0.77483998,1.031004
380,0.77687998,0.749877
381,0.77891998,1.124815
382,0.78095998,1.593565
383,0.78299998,1.593565
384,0.78503998,1.875
385,0.78707998,1.031004
386,0.78911998,1.031004
387,0.79115998,1.031004
388,0.79319998,0.8436885
389,0.79523998,1.781188
390,0.79727998,1.40625
391,0.79931998,1.781188
392,0.80135998,2.156127
393,0.80339998,1.499754
394,0.80543998,1.968504
395,0.80747998,1.031004
396,0.80951998,0.9375
397,0.81155998,1.124815
398,0.81359998,0.9375
399,0.81563998,2.156127
400,0.81767998,1.781188
401,0.81971998,1.968504
402,0.82175998,1.968504
403,0.82379998,1.218627
404,0.82583998,1.781188
405,0.82787998,1.124815
406,0.82991998,1.499754
407,0.83195998,2.156127
408,0.83399998,2.249938
409,0.83603998,3.28125
410,0.83807998,2.718688
411,0.84011998,2.531065
412,0.84215998,2.437254
413,0.84419998,2.062315
414,0.84623998,2.718688
415,0.84827998,2.8125
416,0.85031998,3.187438
417,0.85235998,3.75
418,0.85439998,3.374754
419,0.85643998,3.656188
420,0.85847998,3.562377
421,0.86051998,3.093627
422,0.86255998,3.468565
423,0.86459998,3.562377
424,0.86663998,4.406065
425,0.86867998,4.6875
426,0.87071998,4.499877
427,0.87275998,4.781312
428,0.87479998,4.593688
429,0.87683998,4.6875
430,0.87887998,4.968627
431,0.88091998,4.781312
432,0.88295998,5.062438
433,0.88499998,5.15625
434,0.88703998,5.250062
435,0.88907998,5.437377
436,0.89111998,5.437377
437,0.89315998,5.437377
438,0.89519998,5.343565
439,0.89723998,5.343565
440,0.89927998,5.437377
441,0.90131998,5.531188
442,0.90335998,5.531188
443,0.90539998,5.437377
444,0.90743998,5.437377
445,0.90947998,5.437377
446,0.91151998,5.437377
447,0.91355998,5.437377
448,0.91559998,5.437377
449,0.91763998,5.437377
450,0.91967998,5.250062
451,0.92171998,4.874815
452,0.92375998,4.874815
453,0.92579998,4.781312
454,0.92783998,4.593688
455,0.92987998,4.6875
456,0.93191998,4.124938
457,0.93395998,3.937315
458,0.93599998,3.374754
459,0.93803998,2.624877
460,0.94007998,2.624877
461,0.94211998,1.968504
462,0.94415998,2.34375
463,0.94619998,2.249938
464,0.94823998,1.593565
465,0.95027998,1.218627
466,0.95231998,0.46875
467,0.95435998,0.3749385
468,0.95639998,0.3749385
469,0.95843998,0.281127
470,0.96047998,0.281127
471,0.96251998,0.46875
472,0.96455998,0.8436885
473,0.96659998,1.124815
474,0.96863998,2.062315
475,0.97067998,2.437254
476,0.97271998,3.468565
477,0.97475998,4.124938
478,0.97679998,4.593688
479,0.97883998,5.250062
480,0.98087998,5.437377
481,0.98291998,5.437377
482,0.98495998,5.062438
483,0.98699998,4.499877
484,0.98903998,3.468565
485,0.99107997,2.156127
486,0.99311997,1.031004
487,0.99515997,0.46875
488,0.99719997,0.281127
489,0.99923997,0.6560655
490,1.00127997,2.062315
491,1.00331997,3.562377
492,1.00535997,4.6875
