,Tid,Kanal A
367,0.75035998,5.15625
368,0.75239998,5.15625
369,0.75443998,5.15625
370,0.75647998,5.15625
371,0.75851998,5.062438
372,0.76055998,5.062438
373,0.76259998,5.062438
374,0.76463998,5.062438
375,0.76667998,5.062438
376,0.76871998,5.062438
377,0.77075998,5.15625
378,0.77279998,5.15625
379,0.77483998,5.15625
380,0.77687998,5.250062
381,0.77891998,5.250062
382,0.78095998,5.15625
383,0.78299998,5.15625
384,0.78503998,5.062438
385,0.78707998,5.250062
386,0.78911998,5.062438
387,0.79115998,5.062438
388,0.79319998,5.15625
389,0.79523998,5.062438
390,0.79727998,5.15625
391,0.79931998,5.062438
392,0.80135998,5.062438
393,0.80339998,5.250062
394,0.80543998,5.062438
395,0.80747998,5.343565
396,0.80951998,5.250062
397,0.81155998,5.250062
398,0.81359998,5.250062
399,0.81563998,5.062438
400,0.81767998,5.250062
401,0.81971998,5.15625
402,0.82175998,5.343565
403,0.82379998,5.343565
404,0.82583998,5.250062
405,0.82787998,5.250062
406,0.82991998,4.968627
407,0.83195998,5.062438
408,0.83399998,5.062438
409,0.83603998,4.874815
410,0.83807998,5.062438
411,0.84011998,4.874815
412,0.84215998,5.062438
413,0.84419998,5.15625
414,0.84623998,5.062438
415,0.84827998,5.15625
416,0.85031998,5.062438
417,0.85235998,5.250062
418,0.85439998,5.15625
419,0.85643998,5.15625
420,0.85847998,5.062438
421,0.86051998,4.6875
422,0.86255998,4.781312
423,0.86459998,4.874815
424,0.86663998,4.874815
425,0.86867998,4.968627
426,0.87071998,5.062438
427,0.87275998,5.15625
428,0.87479998,5.062438
429,0.87683998,5.062438
430,0.87887998,4.968627
431,0.88091998,4.968627
432,0.88295998,5.062438
433,0.88499998,5.15625
434,0.88703998,5.062438
435,0.88907998,4.968627
436,0.89111998,4.968627
437,0.89315998,5.062438
438,0.89519998,5.15625
439,0.89723998,5.062438
440,0.89927998,4.968627
441,0.90131998,5.062438
442,0.90335998,5.15625
443,0.90539998,5.250062
444,0.90743998,5.062438
445,0.90947998,4.781312
446,0.91151998,4.6875
447,0.91355998,4.6875
448,0.91559998,4.874815
449,0.91763998,5.062438
450,0.91967998,5.15625
451,0.92171998,5.15625
452,0.92375998,4.968627
453,0.92579998,4.781312
454,0.92783998,4.406065
455,0.92987998,4.593688
456,0.93191998,4.6875
457,0.93395998,4.781312
458,0.93599998,4.874815
459,0.93803998,4.499877
460,0.94007998,4.593688
461,0.94211998,4.499877
462,0.94415998,4.312562
463,0.94619998,4.593688
464,0.94823998,4.406065
465,0.95027998,4.124938
466,0.95231998,3.187438
467,0.95435998,2.8125
468,0.95639998,2.999815
469,0.95843998,3.656188
470,0.96047998,4.406065
471,0.96251998,4.124938
472,0.96455998,3.937315
473,0.96659998,2.999815
474,0.96863998,2.062315
475,0.97067998,1.781188
476,0.97271998,2.249938
477,0.97475998,3.843504
478,0.97679998,4.124938
479,0.97883998,3.75
480,0.98087998,2.906004
481,0.98291998,1.687377
482,0.98495998,1.687377
483,0.98699998,1.499754
484,0.98903998,2.34375
485,0.99107997,3.28125
486,0.99311997,3.468565
487,0.99515997,3.093627
488,0.99719997,1.687377
489,0.99923997,1.031004
490,1.00127997,0.749877
491,1.00331997,0.9375
492,1.00535997,1.593565
493,1.00739997,1.687377
494,1.00943997,1.687377
495,1.01147997,0.9375
496,1.01351997,0.3749385
497,1.01555997,0.281127
498,1.01759997,0.281127
499,1.01963997,0.281127
500,1.02167997,0.562254
501,1.02371997,0.562254
502,1.02575997,0.281127
503,1.02779997,0.3749385
504,1.02983997,0.9375
505,1.03187997,1.781188
506,1.03391997,2.156127
507,1.03595997,1.968504
508,1.03799997,2.062315
509,1.04003997,2.906004
510,1.04207997,4.499877
511,1.04411997,5.250062
512,1.04615997,2.156127
513,1.04819997,0.6560655
514,1.05023997,3.093627
515,1.05227997,4.968627
516,1.05431997,5.343565
517,1.05635997,4.21875
518,1.05839997,1.499754
519,1.06043997,0.3749385
520,1.06247997,2.8125
521,1.06451997,5.062438
522,1.06655997,5.343565
523,1.06859997,4.031127
524,1.07063997,2.249938
525,1.07267997,0.562254
526,1.07471997,1.031004
527,1.07675997,3.656188
528,1.07879997,5.343565
529,1.08083997,5.062438
530,1.08287997,3.562377
531,1.08491997,1.968504
532,1.08695997,0.749877
533,1.08899997,0.562254
534,1.09103997,2.249938
535,1.09307997,4.781312
536,1.09511997,5.437377
537,1.09715997,4.312562
538,1.09919997,2.249938
539,1.10123997,1.124815
540,1.10327997,0.281127
541,1.10531997,0.9375
542,1.10735997,2.999815
543,1.10939997,4.874815
544,1.11143997,5.437377
545,1.11347997,5.062438
546,1.11551997,4.124938
547,1.11755997,2.718688
548,1.11959997,1.124815
549,1.12163997,0.3749385
550,1.12367997,0.562254
551,1.12571997,1.499754
552,1.12775997,3.468565
553,1.12979997,4.968627
554,1.13183997,5.437377
555,1.13387997,5.250062
556,1.13591997,4.593688
557,1.13795997,3.28125
558,1.13999997,2.062315
559,1.14203997,0.9375
560,1.14407997,0.281127
561,1.14611997,0.562254
562,1.14815997,1.499754
563,1.15019997,2.34375
564,1.15223997,3.187438
565,1.15427997,4.124938
566,1.15631997,4.968627
567,1.15835997,5.531188
568,1.16039997,5.250062
569,1.16243997,4.499877
570,1.16447997,3.374754
571,1.16651997,2.437254
572,1.16855997,1.312438
573,1.17059997,0.749877
574,1.17263997,0.281127
575,1.17467997,0.281127
576,1.17671997,0.749877
577,1.17875997,1.687377
578,1.18079997,2.437254
579,1.18283997,3.656188
580,1.18487997,4.21875
581,1.18691997,4.6875
582,1.18895997,5.15625
583,1.19099997,5.343565
584,1.19303997,5.531188
585,1.19507997,5.531188
586,1.19711997,5.062438
587,1.19915997,4.312562
588,1.20119997,3.468565
589,1.20323997,2.906004
590,1.20527997,2.718688
591,1.20731997,2.531065
592,1.20935997,2.437254
593,1.21139997,1.781188
594,1.21343997,1.124815
595,1.21547997,0.562254
596,1.21751997,0.3749385
597,1.21955997,0.281127
598,1.22159997,0.281127
599,1.22363997,0.1873154
600,1.22567997,0.281127
601,1.22771997,0.562254
602,1.22975997,0.9375
603,1.23179997,1.40625
604,1.23383997,1.781188
605,1.23587997,2.249938
606,1.23791997,2.249938
607,1.23995997,2.531065
608,1.24199997,2.8125
609,1.24403997,2.906004
610,1.24607997,3.28125
611,1.24811997,3.562377
612,1.25015997,4.031127
613,1.25219997,4.124938
614,1.25423997,4.312562
615,1.25627997,4.593688
616,1.25831997,4.6875
617,1.26035997,4.968627
618,1.26239997,5.062438
619,1.26443997,5.437377
620,1.26647997,5.531188
621,1.26851997,5.718812
622,1.27055997,5.718812
623,1.27259997,5.718812
624,1.27463997,5.625
625,1.27667997,5.718812
626,1.27871997,5.531188
627,1.28075997,5.531188
628,1.28279997,5.437377
629,1.28483997,5.250062
630,1.28687997,5.250062
631,1.28891997,4.6875
632,1.29095997,4.6875
633,1.29299997,4.406065
634,1.29503997,4.124938
635,1.29707997,4.312562
636,1.29911997,3.656188
637,1.30115997,3.75
638,1.30319997,2.999815
639,1.30523997,2.531065
640,1.30727997,2.437254
641,1.30931997,1.968504
642,1.31135997,2.437254
643,1.31339997,1.968504
644,1.31543997,2.156127
645,1.31747997,1.875
646,1.31951997,1.40625
647,1.32155997,1.312438
648,1.32359997,0.6560655
649,1.32563997,0.6560655
650,1.32767997,0.46875
651,1.32971997,0.46875
652,1.33175997,0.562254
653,1.33379997,0.3749385
654,1.33583997,0.281127
655,1.33787997,0.281127
656,1.33991997,0.281127
657,1.34195997,0.281127
658,1.34399997,0.3749385
659,1.34603997,0.281127
660,1.34807997,0.3749385
661,1.35011997,0.3749385
662,1.35215997,0.46875
663,1.35419997,0.6560655
664,1.35623997,0.562254
665,1.35827997,0.9375
666,1.36031997,1.031004
667,1.36235997,2.062315
668,1.36439997,2.531065
669,1.36643997,2.34375
670,1.36847997,2.718688
671,1.37051997,1.687377
672,1.37255997,1.687377
673,1.37459997,1.312438
674,1.37663997,1.687377
675,1.37867997,3.468565
676,1.38071997,4.124938
677,1.38275997,4.968627
678,1.38479997,4.593688
679,1.38683996,4.406065
680,1.38887996,3.656188
681,1.39091996,2.718688
682,1.39295996,3.093627
683,1.39499996,3.28125
684,1.39703996,4.968627
685,1.39907996,5.531188
686,1.40111996,5.625
687,1.40315996,5.625
688,1.40519996,5.343565
689,1.40723996,5.343565
690,1.40927996,4.874815
691,1.41131996,4.781312
692,1.41335996,5.437377
693,1.41539996,5.625
694,1.41743996,5.437377
695,1.41947996,5.437377
696,1.42151996,5.437377
697,1.42355996,5.625
698,1.42559996,5.625
699,1.42763996,5.625
700,1.42967996,5.625
701,1.43171996,5.437377
702,1.43375996,5.15625
703,1.43579996,4.6875
704,1.43783996,4.312562
705,1.43987996,4.968627
706,1.44191996,5.15625
707,1.44395996,5.437377
708,1.44599996,5.343565
709,1.44803996,4.6875
710,1.45007996,4.312562
711,1.45211996,3.093627
712,1.45415996,3.468565
713,1.45619996,3.656188
714,1.45823996,4.031127
715,1.46027996,4.6875
716,1.46231996,4.312562
717,1.46435996,4.312562
718,1.46639996,3.374754
719,1.46843996,2.906004
720,1.47047996,2.8125
721,1.47251996,2.437254
722,1.47455996,3.28125
723,1.47659996,3.093627
724,1.47863996,3.187438
725,1.48067996,2.999815
726,1.48271996,2.34375
727,1.48475996,2.34375
728,1.48679996,1.781188
729,1.48883996,1.875
730,1.49087996,1.968504
731,1.49291996,1.875
732,1.49495996,2.062315
733,1.49699996,1.875
734,1.49903996,1.875
735,1.50107996,1.499754
736,1.50311996,1.218627
737,1.50515996,0.9375
738,1.50719996,0.6560655
739,1.50923996,0.6560655
740,1.51127996,0.749877
741,1.51331996,1.124815
742,1.51535996,1.218627
743,1.51739996,1.031004
744,1.51943996,0.8436885
745,1.52147996,0.562254
746,1.52351996,0.46875
747,1.52555996,0.3749385
748,1.52759996,0.3749385
749,1.52963996,0.46875
750,1.53167996,0.562254
751,1.53371996,0.562254
752,1.53575996,0.562254
753,1.53779996,0.46875
754,1.53983996,0.3749385
755,1.54187996,0.281127
756,1.54391996,0.281127
757,1.54595996,0.281127
758,1.54799996,0.1873154
759,1.55003996,0.1873154
760,1.55207996,0.281127
761,1.55411996,0.3749385
762,1.55615996,0.281127
763,1.55819996,0.281127
764,1.56023996,0.281127
765,1.56227996,0.281127
766,1.56431996,0.3749385
767,1.56635996,0.3749385
768,1.56839996,0.281127
769,1.57043996,0.281127
770,1.57247996,0.281127
771,1.57451996,0.281127
772,1.57655996,0.3749385
773,1.57859996,0.562254
774,1.58063996,0.749877
775,1.58267996,0.749877
776,1.58471996,1.031004
777,1.58675996,0.46875
778,1.58879996,0.6560655
779,1.59083996,0.562254
780,1.59287996,0.281127
781,1.59491996,0.9375
782,1.59695996,0.749877
783,1.59899996,1.218627
784,1.60103996,1.40625
785,1.60307996,0.9375
786,1.60511996,1.124815
787,1.60715996,0.8436885
788,1.60919996,0.8436885
789,1.61123996,1.312438
790,1.61327996,1.40625
791,1.61531996,2.34375
792,1.61735996,2.156127
793,1.61939996,1.781188
794,1.62143996,1.875
795,1.62347996,1.031004
796,1.62551996,1.40625
797,1.62755996,1.40625
798,1.62959996,1.593565
799,1.63163996,2.8125
800,1.63367996,1.781188
801,1.63571996,2.531065
802,1.63775996,1.687377
803,1.63979996,1.40625
804,1.64183996,2.062315
805,1.64387996,1.124815
806,1.64591996,2.531065
807,1.64795996,2.156127
808,1.64999996,2.437254
809,1.65203996,2.8125
810,1.65407996,1.499754
811,1.65611996,2.531065
812,1.65815996,1.40625
813,1.66019996,1.875
814,1.66223996,2.249938
815,1.66427996,1.875
816,1.66631996,3.187438
817,1.66835996,2.437254
818,1.67039996,2.906004
819,1.67243996,2.624877
820,1.67447996,2.062315
821,1.67651996,3.093627
822,1.67855996,2.718688
823,1.68059996,3.562377
824,1.68263996,3.656188
825,1.68467996,3.187438
826,1.68671996,3.374754
827,1.68875996,2.249938
828,1.69079996,2.531065
829,1.69283996,2.906004
830,1.69487996,3.187438
831,1.69691996,4.312562
832,1.69895996,3.843504
833,1.70099996,4.031127
834,1.70303996,3.093627
835,1.70507996,1.687377
836,1.70711996,1.687377
837,1.70915996,1.312438
838,1.71119996,3.187438
839,1.71323996,4.406065
840,1.71527996,4.968627
841,1.71731996,5.437377
842,1.71935996,4.6875
843,1.72139996,4.031127
844,1.72343996,2.34375
845,1.72547996,1.593565
846,1.72751996,2.437254
847,1.72955996,3.187438
848,1.73159996,4.874815
849,1.73363996,5.15625
850,1.73567996,5.250062
851,1.73771996,4.968627
852,1.73975996,3.562377
853,1.74179996,2.8125
854,1.74383996,2.062315
855,1.74587996,2.999815
856,1.74791996,4.499877
857,1.74995996,5.062438
858,1.75199996,5.343565
859,1.75403996,5.062438
860,1.75607996,4.406065
861,1.75811996,3.28125
862,1.76015996,2.8125
863,1.76219996,3.187438
864,1.76423996,3.937315
865,1.76627996,5.437377
866,1.76831996,5.531188
867,1.77035996,5.531188
868,1.77239996,5.343565
869,1.77443996,2.999815
870,1.77647996,3.187438
871,1.77851996,2.249938
872,1.78055996,3.937315
873,1.78259995,5.437377
874,1.78463995,5.343565
875,1.78667995,4.781312
876,1.78871995,5.437377
877,1.79075995,4.6875
878,1.79279995,3.374754
879,1.79483995,1.875
880,1.79687995,3.75
881,1.79891995,5.062438
882,1.80095995,5.437377
883,1.80299995,5.15625
884,1.80503995,5.437377
885,1.80707995,5.250062
886,1.80911995,3.468565
887,1.81115995,2.8125
888,1.81319995,4.312562
889,1.81523995,4.593688
890,1.81727995,5.250062
891,1.81931995,5.343565
892,1.82135995,5.531188
893,1.82339995,5.437377
894,1.82543995,3.562377
895,1.82747995,3.937315
896,1.82951995,3.093627
897,1.83155995,4.499877
898,1.83359995,5.531188
899,1.83563995,5.531188
900,1.83767995,5.437377
901,1.83971995,5.250062
902,1.84175995,4.781312
903,1.84379995,3.656188
904,1.84583995,2.999815
905,1.84787995,4.6875
906,1.84991995,5.343565
907,1.85195995,5.531188
908,1.85399995,5.531188
909,1.85603995,5.625
910,1.85807995,5.437377
911,1.86011995,4.6875
912,1.86215995,4.781312
913,1.86419995,5.250062
914,1.86623995,5.437377
915,1.86827995,5.531188
916,1.87031995,5.531188
917,1.87235995,5.531188
918,1.87439995,5.343565
919,1.87643995,4.874815
920,1.87847995,5.15625
921,1.88051995,5.343565
922,1.88255995,5.437377
923,1.88459995,5.531188
924,1.88663995,5.437377
925,1.88867995,5.343565
926,1.89071995,5.531188
927,1.89275995,5.531188
928,1.89479995,5.531188
929,1.89683995,5.437377
930,1.89887995,5.531188
931,1.90091995,5.531188
932,1.90295995,5.531188
933,1.90499995,5.531188
934,1.90703995,5.531188
935,1.90907995,5.531188
936,1.91111995,5.531188
937,1.91315995,5.531188
938,1.91519995,5.531188
939,1.91723995,5.531188
940,1.91927995,5.531188
941,1.92131995,5.531188
942,1.92335995,5.531188
943,1.92539995,5.531188
944,1.92743995,5.531188
945,1.92947995,5.437377
946,1.93151995,5.250062
947,1.93355995,5.437377
948,1.93559995,5.531188
949,1.93763995,5.531188
950,1.93967995,5.437377
951,1.94171995,5.531188
952,1.94375995,5.531188
953,1.94579995,5.437377
954,1.94783995,5.250062
955,1.94987995,5.250062
956,1.95191995,5.437377
957,1.95395995,5.531188
958,1.95599995,5.343565
959,1.95803995,5.250062
960,1.96007995,5.250062
961,1.96211995,5.531188
962,1.96415995,5.437377
963,1.96619995,5.250062
964,1.96823995,5.250062
965,1.97027995,5.531188
966,1.97231995,5.531188
967,1.97435995,5.343565
968,1.97639995,5.343565
969,1.97843995,5.531188
970,1.98047995,5.343565
971,1.98251995,5.343565
972,1.98455995,5.437377
973,1.98659995,5.343565
974,1.98863995,4.499877
975,1.99067995,4.031127
976,1.99271995,4.6875
977,1.99475995,5.437377
978,1.99679995,5.15625
979,1.99883995,4.781312
