,Tid,Kanal A
367,0.75035998,5.343565
368,0.75239998,5.437377
369,0.75443998,5.437377
370,0.75647998,5.437377
371,0.75851998,5.437377
372,0.76055998,5.437377
373,0.76259998,5.437377
374,0.76463998,5.437377
375,0.76667998,5.437377
376,0.76871998,5.437377
377,0.77075998,5.437377
378,0.77279998,5.437377
379,0.77483998,5.437377
380,0.77687998,5.437377
381,0.77891998,5.343565
382,0.78095998,5.15625
383,0.78299998,5.343565
384,0.78503998,5.437377
385,0.78707998,5.437377
386,0.78911998,5.437377
387,0.79115998,5.437377
388,0.79319998,5.437377
389,0.79523998,5.437377
390,0.79727998,5.343565
391,0.79931998,5.343565
392,0.80135998,5.343565
393,0.80339998,5.343565
394,0.80543998,5.250062
395,0.80747998,5.250062
396,0.80951998,5.15625
397,0.81155998,5.250062
398,0.81359998,5.250062
399,0.81563998,5.15625
400,0.81767998,5.15625
401,0.81971998,5.062438
402,0.82175998,5.15625
403,0.82379998,5.250062
404,0.82583998,5.250062
405,0.82787998,5.343565
406,0.82991998,5.250062
407,0.83195998,5.250062
408,0.83399998,5.15625
409,0.83603998,4.874815
410,0.83807998,5.062438
411,0.84011998,5.062438
412,0.84215998,5.250062
413,0.84419998,5.250062
414,0.84623998,5.250062
415,0.84827998,5.250062
416,0.85031998,4.874815
417,0.85235998,4.781312
418,0.85439998,4.593688
419,0.85643998,4.874815
420,0.85847998,5.062438
421,0.86051998,4.968627
422,0.86255998,5.15625
423,0.86459998,4.874815
424,0.86663998,4.593688
425,0.86867998,4.21875
426,0.87071998,3.75
427,0.87275998,4.031127
428,0.87479998,3.937315
429,0.87683998,4.21875
430,0.87887998,4.124938
431,0.88091998,4.031127
432,0.88295998,3.843504
433,0.88499998,3.093627
434,0.88703998,2.999815
435,0.88907998,2.531065
436,0.89111998,2.624877
437,0.89315998,2.906004
438,0.89519998,2.718688
439,0.89723998,2.531065
440,0.89927998,1.687377
441,0.90131998,1.312438
442,0.90335998,1.031004
443,0.90539998,0.749877
444,0.90743998,0.6560655
445,0.90947998,0.46875
446,0.91151998,0.562254
447,0.91355998,0.46875
448,0.91559998,0.3749385
449,0.91763998,0.281127
450,0.91967998,0.281127
451,0.92171998,0.281127
452,0.92375998,0.46875
453,0.92579998,0.749877
454,0.92783998,1.031004
455,0.92987998,1.40625
456,0.93191998,1.40625
457,0.93395998,1.968504
458,0.93599998,2.624877
459,0.93803998,3.468565
460,0.94007998,4.406065
461,0.94211998,4.781312
462,0.94415998,5.250062
463,0.94619998,5.437377
464,0.94823998,5.437377
465,0.95027998,5.250062
466,0.95231998,4.593688
467,0.95435998,3.093627
468,0.95639998,1.312438
469,0.95843998,0.3749385
470,0.96047998,1.687377
471,0.96251998,4.124938
472,0.96455998,5.343565
473,0.96659998,4.406065
474,0.96863998,1.968504
475,0.97067998,0.46875
476,0.97271998,0.6560655
477,0.97475998,2.624877
478,0.97679998,4.6875
479,0.97883998,5.343565
480,0.98087998,4.21875
481,0.98291998,2.156127
482,0.98495998,0.562254
483,0.98699998,0.46875
484,0.98903998,2.249938
485,0.99107997,4.406065
486,0.99311997,5.343565
487,0.99515997,4.781312
488,0.99719997,2.906004
489,0.99923997,0.9375
490,1.00127997,0.281127
491,1.00331997,0.8436885
492,1.00535997,2.437254
493,1.00739997,4.21875
494,1.00943997,5.343565
495,1.01147997,5.250062
496,1.01351997,3.937315
497,1.01555997,2.249938
498,1.01759997,0.9375
499,1.01963997,0.281127
500,1.02167997,0.562254
501,1.02371997,1.875
502,1.02575997,3.28125
503,1.02779997,4.781312
504,1.02983997,5.437377
505,1.03187997,5.062438
506,1.03391997,4.031127
507,1.03595997,2.906004
508,1.03799997,1.40625
509,1.04003997,0.562254
510,1.04207997,0.281127
511,1.04411997,0.6560655
512,1.04615997,1.687377
513,1.04819997,3.093627
514,1.05023997,4.031127
515,1.05227997,4.6875
516,1.05431997,5.343565
517,1.05635997,5.531188
518,1.05839997,5.250062
519,1.06043997,4.499877
520,1.06247997,3.374754
521,1.06451997,2.156127
522,1.06655997,1.499754
523,1.06859997,0.562254
524,1.07063997,0.281127
525,1.07267997,0.3749385
526,1.07471997,0.6560655
527,1.07675997,0.9375
528,1.07879997,1.968504
529,1.08083997,2.34375
530,1.08287997,3.28125
531,1.08491997,4.312562
532,1.08695997,4.874815
533,1.08899997,5.343565
534,1.09103997,5.437377
535,1.09307997,5.531188
536,1.09511997,5.625
537,1.09715997,5.531188
538,1.09919997,4.968627
539,1.10123997,4.593688
540,1.10327997,3.75
541,1.10531997,3.28125
542,1.10735997,2.906004
543,1.10939997,2.249938
544,1.11143997,2.437254
545,1.11347997,1.968504
546,1.11551997,1.40625
547,1.11755997,0.8436885
548,1.11959997,0.46875
549,1.12163997,0.46875
550,1.12367997,0.281127
551,1.12571997,0.281127
552,1.12775997,0.281127
553,1.12979997,0.281127
554,1.13183997,0.1873154
555,1.13387997,0.3749385
556,1.13591997,0.562254
557,1.13795997,0.6560655
558,1.13999997,0.9375
559,1.14203997,0.8436885
560,1.14407997,1.031004
561,1.14611997,1.218627
562,1.14815997,1.499754
563,1.15019997,2.156127
564,1.15223997,1.968504
565,1.15427997,2.531065
566,1.15631997,2.8125
567,1.15835997,2.8125
568,1.16039997,3.187438
569,1.16243997,2.624877
570,1.16447997,3.187438
571,1.16651997,3.374754
572,1.16855997,3.562377
573,1.17059997,4.312562
574,1.17263997,4.21875
575,1.17467997,4.6875
576,1.17671997,4.6875
577,1.17875997,4.781312
578,1.18079997,5.062438
579,1.18283997,4.968627
580,1.18487997,5.250062
581,1.18691997,5.437377
582,1.18895997,5.531188
583,1.19099997,5.625
584,1.19303997,5.625
585,1.19507997,5.718812
586,1.19711997,5.625
587,1.19915997,5.718812
588,1.20119997,5.718812
589,1.20323997,5.718812
590,1.20527997,5.625
591,1.20731997,5.531188
592,1.20935997,5.343565
593,1.21139997,5.15625
594,1.21343997,5.15625
595,1.21547997,5.062438
596,1.21751997,4.874815
597,1.21955997,4.6875
598,1.22159997,4.312562
599,1.22363997,4.406065
600,1.22567997,4.21875
601,1.22771997,3.937315
602,1.22975997,3.656188
603,1.23179997,3.468565
604,1.23383997,3.374754
605,1.23587997,3.187438
606,1.23791997,2.718688
607,1.23995997,2.34375
608,1.24199997,2.156127
609,1.24403997,2.062315
610,1.24607997,2.062315
611,1.24811997,1.499754
612,1.25015997,1.312438
613,1.25219997,1.312438
614,1.25423997,1.124815
615,1.25627997,0.9375
616,1.25831997,0.6560655
617,1.26035997,0.749877
618,1.26239997,0.749877
619,1.26443997,0.6560655
620,1.26647997,0.562254
621,1.26851997,0.281127
622,1.27055997,0.46875
623,1.27259997,0.281127
624,1.27463997,0.281127
625,1.27667997,0.281127
626,1.27871997,0.1873154
627,1.28075997,0.1873154
