,Tid,Kanal A
14,0.10010001,3.124077
15,0.10677535,3.124077
16,0.11345069,3.124077
17,0.12012602,3.124077
18,0.12680136,3.124077
19,0.13347669,3.124077
20,0.14015203,3.029343
21,0.14682737,3.124077
22,0.1535027,3.124077
23,0.16017804,3.124077
24,0.16685337,3.124077
25,0.17352871,3.124077
26,0.18020405,3.124077
27,0.18687938,3.881336
28,0.19355472,4.070805
29,0.20023005,3.124077
30,0.20690539,3.881336
31,0.21358073,3.407972
32,0.22025606,3.597441
33,0.2269314,3.597441
34,0.23360673,3.786602
35,0.24028207,3.407972
36,0.24695741,3.97607
37,0.25363274,3.218812
38,0.26030808,4.165539
39,0.26698341,3.313238
40,0.27365875,3.218812
41,0.28033408,4.070805
42,0.28700942,3.692175
43,0.29368476,3.218812
44,0.30036009,3.97607
45,0.30703543,4.165539
46,0.31371076,3.407972
47,0.3203861,3.124077
48,0.32706144,3.407972
49,0.33373677,4.070805
50,0.34041211,4.165539
51,0.34708744,3.786602
52,0.35376278,3.218812
53,0.36043812,3.124077
54,0.36711345,3.218812
55,0.37378879,3.407972
56,0.38046412,3.407972
57,0.38713946,3.692175
58,0.3938148,4.070805
59,0.40049013,4.165539
60,0.40716547,3.881336
61,0.4138408,3.881336
62,0.42051614,3.881336
63,0.42719148,3.502707
64,0.43386681,2.934609
65,0.44054215,3.029343
66,0.44721748,3.218812
