,Tid,Kanal A
11,0.08007401,3.218812
12,0.08674934,3.218812
13,0.09342468,3.407972
14,0.10010001,3.786602
15,0.10677535,3.786602
16,0.11345069,3.407972
17,0.12012602,3.029343
18,0.12680136,3.407972
19,0.13347669,3.881336
20,0.14015203,3.124077
21,0.14682737,3.597441
22,0.1535027,3.597441
23,0.16017804,3.124077
24,0.16685337,3.881336
25,0.17352871,3.029343
26,0.18020405,3.881336
27,0.18687938,3.029343
28,0.19355472,3.881336
29,0.20023005,3.029343
30,0.20690539,3.881336
31,0.21358073,3.124077
32,0.22025606,3.502707
33,0.2269314,3.881336
34,0.23360673,3.029343
35,0.24028207,3.502707
36,0.24695741,3.97607
37,0.25363274,3.313238
38,0.26030808,3.029343
39,0.26698341,3.692175
40,0.27365875,3.881336
41,0.28033408,3.313238
42,0.28700942,2.934609
43,0.29368476,2.934609
44,0.30036009,3.407972
45,0.30703543,3.881336
46,0.31371076,3.881336
47,0.3203861,3.692175
48,0.32706144,3.313238
49,0.33373677,2.934609
50,0.34041211,2.745448
51,0.34708744,2.745448
52,0.35376278,2.745448
53,0.36043812,2.934609
54,0.36711345,3.313238
55,0.37378879,3.502707
56,0.38046412,3.597441
57,0.38713946,3.692175
58,0.3938148,3.881336
59,0.40049013,3.881336
60,0.40716547,3.597441
61,0.4138408,3.502707
62,0.42051614,3.313238
63,0.42719148,3.313238
64,0.43386681,3.124077
65,0.44054215,3.029343
66,0.44721748,2.839875
67,0.45389282,2.745448
68,0.46056815,2.745448
69,0.46724349,2.745448
70,0.47391883,2.839875
71,0.48059416,2.839875
72,0.4872695,2.839875
73,0.49394483,3.029343
