,Tid,Kanal A
14,0.10010001,3.502707
15,0.10677535,3.124077
16,0.11345069,3.124077
17,0.12012602,3.313238
18,0.12680136,3.407972
19,0.13347669,3.786602
20,0.14015203,3.786602
21,0.14682737,3.407972
22,0.1535027,3.029343
23,0.16017804,3.407972
24,0.16685337,3.881336
25,0.17352871,3.407972
26,0.18020405,3.029343
27,0.18687938,3.786602
28,0.19355472,3.313238
29,0.20023005,3.407972
30,0.20690539,3.786602
31,0.21358073,3.029343
32,0.22025606,3.786602
33,0.2269314,3.124077
34,0.23360673,3.786602
35,0.24028207,3.029343
36,0.24695741,3.881336
37,0.25363274,3.029343
38,0.26030808,3.692175
39,0.26698341,3.029343
40,0.27365875,3.692175
41,0.28033408,2.934609
42,0.28700942,3.597441
43,0.29368476,3.407972
44,0.30036009,3.029343
45,0.30703543,3.692175
46,0.31371076,3.313238
47,0.3203861,2.934609
48,0.32706144,3.313238
49,0.33373677,3.786602
50,0.34041211,3.597441
51,0.34708744,3.029343
52,0.35376278,3.029343
53,0.36043812,3.407972
54,0.36711345,3.786602
55,0.37378879,3.881336
56,0.38046412,3.786602
57,0.38713946,3.407972
58,0.3938148,3.124077
59,0.40049013,2.934609
60,0.40716547,2.934609
61,0.4138408,3.029343
62,0.42051614,3.218812
63,0.42719148,3.502707
64,0.43386681,3.786602
65,0.44054215,3.97607
66,0.44721748,3.97607
67,0.45389282,3.97607
68,0.46056815,3.881336
69,0.46724349,3.786602
70,0.47391883,3.407972
71,0.48059416,3.124077
72,0.4872695,3.029343
73,0.49394483,3.029343
