,Tid,Kanal A
22,0.1535027,3.881336
23,0.16017804,3.029343
24,0.16685337,3.029343
25,0.17352871,3.407972
26,0.18020405,3.881336
27,0.18687938,3.786602
28,0.19355472,3.218812
29,0.20023005,3.029343
30,0.20690539,3.786602
31,0.21358073,3.692175
32,0.22025606,3.029343
33,0.2269314,3.881336
34,0.23360673,3.218812
35,0.24028207,3.218812
36,0.24695741,3.881336
37,0.25363274,2.934609
38,0.26030808,3.881336
39,0.26698341,2.934609
40,0.27365875,3.97607
41,0.28033408,2.934609
42,0.28700942,3.881336
43,0.29368476,2.839875
44,0.30036009,3.881336
45,0.30703543,3.218812
46,0.31371076,3.218812
47,0.3203861,3.97607
48,0.32706144,2.934609
49,0.33373677,3.313238
50,0.34041211,3.97607
51,0.34708744,2.839875
52,0.35376278,3.313238
53,0.36043812,3.881336
54,0.36711345,3.313238
55,0.37378879,2.745448
56,0.38046412,2.934609
57,0.38713946,3.692175
58,0.3938148,3.597441
59,0.40049013,2.934609
60,0.40716547,2.650714
61,0.4138408,2.650714
62,0.42051614,2.934609
63,0.42719148,3.407972
64,0.43386681,3.692175
65,0.44054215,3.786602
66,0.44721748,3.597441
67,0.45389282,3.218812
68,0.46056815,2.934609
69,0.46724349,2.650714
70,0.47391883,2.650714
71,0.48059416,2.555979
72,0.4872695,2.650714
73,0.49394483,2.839875
74,0.50062017,3.124077
75,0.50729551,3.313238
76,0.51397084,3.407972
77,0.52064618,3.502707
78,0.52732151,3.692175
79,0.53399685,3.692175
80,0.54067219,3.786602
81,0.54734752,3.786602
82,0.55402286,3.692175
83,0.56069819,3.597441
84,0.56737353,3.502707
85,0.57404887,3.597441
86,0.5807242,3.597441
87,0.58739954,3.407972
88,0.59407487,3.029343
