,Tid,Kanal A
29,0.20023005,3.124077
30,0.20690539,3.124077
31,0.21358073,3.124077
32,0.22025606,3.313238
33,0.2269314,3.313238
34,0.23360673,3.218812
35,0.24028207,3.124077
36,0.24695741,3.124077
37,0.25363274,3.124077
38,0.26030808,3.218812
39,0.26698341,3.124077
40,0.27365875,3.124077
41,0.28033408,3.124077
42,0.28700942,3.218812
43,0.29368476,3.881336
44,0.30036009,4.070805
45,0.30703543,3.407972
46,0.31371076,3.786602
47,0.3203861,3.786602
48,0.32706144,3.313238
49,0.33373677,3.97607
50,0.34041211,3.124077
51,0.34708744,3.97607
52,0.35376278,3.313238
53,0.36043812,3.692175
54,0.36711345,4.165539
55,0.37378879,3.881336
56,0.38046412,3.692175
57,0.38713946,3.218812
58,0.3938148,3.692175
59,0.40049013,3.97607
60,0.40716547,3.124077
61,0.4138408,3.124077
62,0.42051614,3.124077
63,0.42719148,3.124077
64,0.43386681,3.218812
65,0.44054215,3.97607
66,0.44721748,4.165539
67,0.45389282,3.597441
68,0.46056815,3.597441
69,0.46724349,3.502707
70,0.47391883,3.597441
71,0.48059416,3.218812
72,0.4872695,3.124077
73,0.49394483,3.029343
74,0.50062017,3.029343
75,0.50729551,3.124077
76,0.51397084,3.313238
77,0.52064618,3.313238
78,0.52732151,3.502707
79,0.53399685,3.597441
80,0.54067219,3.786602
81,0.54734752,3.97607
82,0.55402286,4.070805
83,0.56069819,4.070805
84,0.56737353,4.070805
85,0.57404887,4.070805
86,0.5807242,3.97607
87,0.58739954,3.786602
88,0.59407487,3.597441
89,0.60075021,3.597441
90,0.60742555,3.692175
91,0.61410088,3.692175
92,0.62077622,3.502707
93,0.62745155,3.218812
94,0.63412689,3.029343
95,0.64080222,2.934609
96,0.64747756,2.934609
97,0.6541529,3.029343
98,0.66082823,3.124077
99,0.66750357,2.934609
100,0.6741789,2.839875
101,0.68085424,2.934609
102,0.68752958,2.934609
103,0.69420491,2.839875
