Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;8,27140700;4,54355300
0,01000000;8,27140700;4,49987700
0,02000000;8,27140700;4,54355300
0,03000000;8,27140700;4,54355300
0,04000000;8,27140700;4,54355300
0,05000000;8,27140700;4,54355300
0,06000000;8,35937500;4,54355300
0,07000000;8,27140700;4,49987700
0,08000000;8,27140700;4,49987700
0,09000000;8,27140700;4,54355300
0,10000000;8,27140700;4,54355300
0,11000000;8,35937500;4,49987700
0,12000000;8,35937500;4,49987700
0,13000000;8,35937500;4,49987700
0,14000000;8,35937500;4,54355300
0,15000000;8,35937500;4,54355300
0,16000000;8,35937500;4,49987700
0,17000000;8,35937500;4,49987700
0,18000000;8,35937500;4,49987700
0,19000000;8,35937500;4,54355300
0,19999999;8,35937500;4,49987700
0,20999999;8,35937500;4,49987700
0,21999999;8,35937500;4,49987700
0,22999999;8,35937500;4,49987700
0,23999999;8,35937500;4,49987700
0,24999999;8,35937500;4,49987700
0,25999999;8,35937500;4,49987700
0,26999999;8,35937500;4,49987700
0,27999999;8,35937500;4,49987700
0,28999999;8,35937500;4,54355300
0,29999999;8,35937500;4,49987700
0,30999999;8,35937500;4,49987700
0,31999999;8,35937500;4,54355300
0,32999999;8,35937500;4,49987700
0,33999999;8,35937500;4,49987700
0,34999999;8,35937500;4,49987700
0,35999999;8,35937500;4,49987700
0,36999999;8,35937500;4,54355300
0,37999999;8,35937500;4,49987700
0,38999999;8,35937500;4,54355300
0,39999999;8,35937500;4,49987700
0,40999999;8,35937500;4,49987700
0,41999999;8,44734300;4,45620100
0,42999999;8,44734300;4,49987700
0,43999999;8,35937500;4,49987700
0,44999999;8,44734300;4,49987700
0,45999999;8,44734300;4,49987700
0,46999999;8,44734300;4,49987700
0,47999999;8,44734300;4,49987700
0,48999999;8,44734300;4,49987700
0,49999999;8,44734300;4,45620100
0,50999999;8,35937500;4,45620100
0,51999999;8,44734300;4,49987700
0,52999999;8,44734300;4,49987700
0,53999999;8,44734300;4,45620100
0,54999999;8,44734300;4,49987700
0,55999999;8,44734300;4,45620100
0,56999999;8,44734300;4,49987700
0,57999999;8,44734300;4,49987700
0,58999999;8,44734300;4,45620100
0,59999998;8,44734300;4,49987700
0,60999998;8,44734300;4,45620100
0,61999998;8,44734300;4,45620100
0,62999998;8,44734300;4,45620100
0,63999998;8,44734300;4,45620100
0,64999998;8,44734300;4,45620100
0,65999998;8,44734300;4,45620100
0,66999998;8,44734300;4,45620100
0,67999998;8,44734300;4,45620100
0,68999998;8,44734300;4,45620100
0,69999998;8,44734300;4,45620100
0,70999998;8,44734300;4,45620100
0,71999998;8,53531000;4,41252500
0,72999998;8,44734300;4,45620100
0,73999998;8,53531000;4,45620100
0,74999998;8,44734300;4,45620100
0,75999998;8,53531000;4,41252500
0,76999998;8,53531000;4,45620100
0,77999998;8,53531000;4,45620100
0,78999998;8,53531000;4,41252500
0,79999998;8,53531000;4,45620100
0,80999998;8,53531000;4,45620100
0,81999998;8,53531000;4,45620100
0,82999998;8,53531000;4,41252500
0,83999998;8,53531000;4,41252500
0,84999998;8,53531000;4,45620100
0,85999998;8,53531000;4,45620100
0,86999998;8,53531000;4,45620100
0,87999998;8,53531000;4,41252500
0,88999998;8,53531000;4,41252500
0,89999998;8,53531000;4,41252500
0,90999998;8,53531000;4,41252500
0,91999998;8,53531000;4,45620100
0,92999998;8,53531000;4,41252500
0,93999998;8,53531000;4,41252500
0,94999998;8,53531000;4,45620100
0,95999998;8,53531000;4,41252500
0,96999998;8,53531000;4,41252500
0,97999998;8,53531000;4,36884800
0,98999997;8,53531000;4,41252500
0,99999997;8,53531000;4,41252500
1,00999997;8,53531000;4,41252500
1,01999997;8,53531000;4,41252500
1,02999997;8,53531000;4,41252500
1,03999997;8,62327800;4,41252500
1,04999997;8,62327800;4,41252500
1,05999997;8,62327800;4,41252500
1,06999997;8,62327800;4,36884800
1,07999997;8,62327800;4,41252500
1,08999997;8,53531000;4,41252500
1,09999997;8,62327800;4,36884800
1,10999997;8,62327800;4,41252500
1,11999997;8,62327800;4,36884800
1,12999997;8,62327800;4,36884800
1,13999997;8,62327800;4,41252500
1,14999997;8,62327800;4,41252500
1,15999997;8,62327800;4,41252500
1,16999997;8,62327800;4,36884800
1,17999997;8,62327800;4,36884800
1,18999997;8,62327800;4,41252500
1,19999997;8,62327800;4,36884800
1,20999997;8,62327800;4,36884800
1,21999997;8,62327800;4,41252500
1,22999997;8,62327800;4,36884800
1,23999997;8,62327800;4,36884800
1,24999997;8,62327800;4,32517200
