Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;5,45552400;1,48529800
0,01000000;5,45552400;1,48529800
0,02000000;5,45552400;1,48529800
0,03000000;5,45552400;1,48529800
0,04000000;5,45552400;1,48529800
0,05000000;5,45552400;1,57265000
0,06000000;5,45552400;1,57265000
0,07000000;5,45552400;1,57265000
0,08000000;5,45552400;1,57265000
0,09000000;5,45552400;1,57265000
0,10000000;5,45552400;1,57265000
0,11000000;5,45552400;1,57265000
0,12000000;5,45552400;1,57265000
0,13000000;5,45552400;1,57265000
0,14000000;5,45552400;1,57265000
0,15000000;5,45552400;1,57265000
0,16000000;5,45552400;1,66000200
0,17000000;5,45552400;1,66000200
0,18000000;5,45552400;1,66000200
0,19000000;5,54349200;1,66000200
0,19999999;5,45552400;1,66000200
0,20999999;5,45552400;1,66000200
0,21999999;5,45552400;1,66000200
0,22999999;5,45552400;1,66000200
0,23999999;5,45552400;1,66000200
0,24999999;5,54349200;1,66000200
0,25999999;5,54349200;1,66000200
0,26999999;5,54349200;1,74735500
0,27999999;5,54349200;1,74735500
0,28999999;5,54349200;1,74735500
0,29999999;5,54349200;1,74735500
0,30999999;5,54349200;1,74735500
0,31999999;5,45552400;1,74735500
0,32999999;5,54349200;1,74735500
0,33999999;5,54349200;1,74735500
0,34999999;5,54349200;1,74735500
0,35999999;5,54349200;1,83470700
0,36999999;5,54349200;1,83470700
0,37999999;5,54349200;1,83470700
0,38999999;5,54349200;1,83470700
0,39999999;5,54349200;1,83470700
0,40999999;5,54349200;1,83470700
0,41999999;5,54349200;1,83470700
0,42999999;5,54349200;1,83470700
0,43999999;5,54349200;1,92206000
0,44999999;5,54349200;1,92206000
0,45999999;5,54349200;1,92206000
0,46999999;5,54349200;1,92206000
0,47999999;5,54349200;1,92206000
0,48999999;5,54349200;1,92206000
0,49999999;5,63145900;1,92206000
0,50999999;5,54349200;1,92206000
0,51999999;5,54349200;1,92206000
0,52999999;5,54349200;2,00941200
0,53999999;5,54349200;2,00941200
0,54999999;5,63145900;2,00941200
0,55999999;5,63145900;2,00941200
0,56999999;5,54349200;2,00941200
0,57999999;5,63145900;2,00941200
0,58999999;5,63145900;2,00941200
0,59999998;5,63145900;2,09707200
0,60999998;5,63145900;2,09707200
0,61999998;5,63145900;2,09707200
0,62999998;5,63145900;2,09707200
0,63999998;5,63145900;2,09707200
0,64999998;5,63145900;2,09707200
0,65999998;5,63145900;2,09707200
0,66999998;5,63145900;2,09707200
0,67999998;5,63145900;2,18442400
0,68999998;5,63145900;2,18442400
0,69999998;5,63145900;2,18442400
0,70999998;5,63145900;2,18442400
0,71999998;5,63145900;2,18442400
0,72999998;5,63145900;2,18442400
0,73999998;5,63145900;2,18442400
0,74999998;5,63145900;2,27177700
0,75999998;5,63145900;2,27177700
0,76999998;5,63145900;2,27177700
0,77999998;5,63145900;2,27177700
0,78999998;5,63145900;2,27177700
0,79999998;5,63145900;2,27177700
0,80999998;5,63145900;2,27177700
0,81999998;5,63145900;2,27177700
0,82999998;5,71942700;2,35912900
0,83999998;5,63145900;2,35912900
0,84999998;5,63145900;2,35912900
0,85999998;5,63145900;2,35912900
0,86999998;5,71942700;2,35912900
0,87999998;5,71942700;2,44648100
0,88999998;5,71942700;2,44648100
0,89999998;5,71942700;2,44648100
0,90999998;5,71942700;2,44648100
0,91999998;5,71942700;2,44648100
0,92999998;5,71942700;2,44648100
0,93999998;5,71942700;2,53383400
0,94999998;5,71942700;2,53383400
0,95999998;5,71942700;2,53383400
0,96999998;5,71942700;2,53383400
0,97999998;5,71942700;2,53383400
0,98999997;5,71942700;2,62118600
0,99999997;5,71942700;2,62118600
1,00999997;5,71942700;2,62118600
1,01999997;5,71942700;2,62118600
1,02999997;5,71942700;2,62118600
1,03999997;5,71942700;2,62118600
1,04999997;5,71942700;2,70853800
1,05999997;5,71942700;2,70853800
1,06999997;5,71942700;2,62118600
1,07999997;5,71942700;2,70853800
1,08999997;5,71942700;2,70853800
1,09999997;5,71942700;2,70853800
1,10999997;5,80739400;2,79589100
1,11999997;5,71942700;2,79589100
1,12999997;5,71942700;2,79589100
1,13999997;5,71942700;2,79589100
1,14999997;5,71942700;2,79589100
1,15999997;5,80739400;2,79589100
1,16999997;5,71942700;2,88324300
1,17999997;5,71942700;2,88324300
1,18999997;5,80739400;2,88324300
1,19999997;5,80739400;2,88324300
1,20999997;5,80739400;2,97059500
1,21999997;5,80739400;2,97059500
1,22999997;5,80739400;2,97059500
1,23999997;5,80739400;2,97059500
1,24999997;5,80739400;2,97059500
