Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;1,75965800;1,13588800
0,01000000;1,75965800;1,13588800
0,02000000;1,75965800;1,13588800
0,03000000;1,75965800;1,13588800
0,04000000;1,75965800;1,13588800
0,05000000;1,75965800;1,13588800
0,06000000;1,75965800;1,13588800
0,07000000;1,75965800;1,22324100
0,08000000;1,75965800;1,13588800
0,09000000;1,84762500;1,13588800
0,10000000;1,84762500;1,22324100
0,11000000;1,75965800;1,22324100
0,12000000;1,84762500;1,22324100
0,13000000;1,75965800;1,22324100
0,14000000;1,75965800;1,22324100
0,15000000;1,84762500;1,22324100
0,16000000;1,84762500;1,22324100
0,17000000;1,84762500;1,22324100
0,18000000;1,84762500;1,31059300
0,19000000;1,84762500;1,22324100
0,19999999;1,84762500;1,31059300
0,20999999;1,84762500;1,31059300
0,21999999;1,84762500;1,31059300
0,22999999;1,84762500;1,31059300
0,23999999;1,84762500;1,39794500
0,24999999;1,84762500;1,31059300
0,25999999;1,84762500;1,39794500
0,26999999;1,84762500;1,39794500
0,27999999;1,84762500;1,31059300
0,28999999;1,84762500;1,39794500
0,29999999;1,84762500;1,39794500
0,30999999;1,84762500;1,39794500
0,31999999;1,84762500;1,39794500
0,32999999;1,84762500;1,39794500
0,33999999;1,84762500;1,39794500
0,34999999;1,84762500;1,48529800
0,35999999;1,84762500;1,48529800
0,36999999;1,84762500;1,48529800
0,37999999;1,84762500;1,48529800
0,38999999;1,93559300;1,48529800
0,39999999;1,84762500;1,48529800
0,40999999;1,84762500;1,48529800
0,41999999;1,84762500;1,57265000
0,42999999;1,84762500;1,57265000
0,43999999;1,93559300;1,57265000
0,44999999;1,93559300;1,57265000
0,45999999;1,93559300;1,57265000
0,46999999;1,93559300;1,66000200
0,47999999;1,93559300;1,57265000
0,48999999;1,93559300;1,66000200
0,49999999;1,93559300;1,57265000
0,50999999;1,93559300;1,66000200
0,51999999;1,93559300;1,66000200
0,52999999;1,93559300;1,66000200
0,53999999;1,93559300;1,66000200
0,54999999;1,93559300;1,66000200
0,55999999;1,93559300;1,66000200
0,56999999;1,93559300;1,66000200
0,57999999;1,93559300;1,74735500
0,58999999;1,93559300;1,74735500
0,59999998;1,93559300;1,74735500
0,60999998;1,93559300;1,74735500
0,61999998;1,93559300;1,74735500
0,62999998;1,93559300;1,74735500
0,63999998;1,93559300;1,83470700
0,64999998;1,93559300;1,74735500
0,65999998;1,93559300;1,83470700
0,66999998;1,93559300;1,83470700
0,67999998;1,93559300;1,83470700
0,68999998;2,02356100;1,83470700
0,69999998;1,93559300;1,83470700
0,70999998;2,02356100;1,92206000
0,71999998;2,02356100;1,92206000
0,72999998;1,93559300;1,92206000
0,73999998;1,93559300;1,92206000
0,74999998;2,02356100;1,92206000
0,75999998;2,02356100;1,92206000
0,76999998;2,02356100;2,00941200
0,77999998;1,93559300;2,00941200
0,78999998;2,02356100;2,00941200
0,79999998;2,02356100;2,00941200
0,80999998;2,02356100;2,00941200
0,81999998;2,02356100;2,00941200
0,82999998;2,02356100;2,00941200
0,83999998;2,02356100;2,09707200
0,84999998;2,02356100;2,09707200
0,85999998;2,02356100;2,09707200
0,86999998;2,02356100;2,09707200
0,87999998;2,02356100;2,09707200
0,88999998;2,02356100;2,09707200
0,89999998;2,02356100;2,18442400
0,90999998;2,02356100;2,18442400
0,91999998;2,02356100;2,18442400
0,92999998;2,02356100;2,18442400
0,93999998;2,02356100;2,27177700
0,94999998;2,02356100;2,27177700
0,95999998;2,02356100;2,27177700
0,96999998;2,02356100;2,27177700
0,97999998;2,02356100;2,27177700
0,98999997;2,02356100;2,27177700
0,99999997;2,02356100;2,35912900
1,00999997;2,02356100;2,35912900
1,01999997;2,02356100;2,35912900
1,02999997;2,11183600;2,35912900
1,03999997;2,02356100;2,35912900
1,04999997;2,02356100;2,35912900
1,05999997;2,11183600;2,44648100
1,06999997;2,11183600;2,44648100
1,07999997;2,11183600;2,44648100
1,08999997;2,11183600;2,44648100
1,09999997;2,11183600;2,44648100
1,10999997;2,02356100;2,53383400
1,11999997;2,11183600;2,53383400
1,12999997;2,11183600;2,53383400
1,13999997;2,11183600;2,53383400
1,14999997;2,11183600;2,53383400
1,15999997;2,11183600;2,62118600
1,16999997;2,11183600;2,62118600
1,17999997;2,11183600;2,62118600
1,18999997;2,11183600;2,62118600
1,19999997;2,11183600;2,62118600
1,20999997;2,11183600;2,70853800
1,21999997;2,11183600;2,70853800
1,22999997;2,11183600;2,70853800
1,23999997;2,11183600;2,70853800
1,24999997;2,11183600;2,79589100
