Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;2,19980300;6,46592000
0,01000000;2,19980300;6,37856800
0,02000000;2,19980300;6,46592000
0,03000000;2,19980300;6,46592000
0,04000000;2,19980300;6,46592000
0,05000000;2,19980300;6,46592000
0,06000000;2,19980300;6,46592000
0,07000000;2,19980300;6,46592000
0,08000000;2,19980300;6,46592000
0,09000000;2,19980300;6,55327300
0,10000000;2,19980300;6,55327300
0,11000000;2,19980300;6,55327300
0,12000000;2,19980300;6,55327300
0,13000000;2,19980300;6,55327300
0,14000000;2,19980300;6,55327300
0,15000000;2,19980300;6,55327300
0,16000000;2,19980300;6,55327300
0,17000000;2,19980300;6,55327300
0,18000000;2,19980300;6,55327300
0,19000000;2,19980300;6,64062500
0,19999999;2,19980300;6,64062500
0,20999999;2,19980300;6,64062500
0,21999999;2,11183600;6,64062500
0,22999999;2,19980300;6,64062500
0,23999999;2,19980300;6,64062500
0,24999999;2,11183600;6,64062500
0,25999999;2,19980300;6,64062500
0,26999999;2,19980300;6,64062500
0,27999999;2,19980300;6,64062500
0,28999999;2,11183600;6,64062500
0,29999999;2,19980300;6,64062500
0,30999999;2,11183600;6,64062500
0,31999999;2,11183600;6,64062500
0,32999999;2,11183600;6,72797700
0,33999999;2,11183600;6,64062500
0,34999999;2,11183600;6,72797700
0,35999999;2,11183600;6,72797700
0,36999999;2,11183600;6,72797700
0,37999999;2,11183600;6,72797700
0,38999999;2,11183600;6,72797700
0,39999999;2,11183600;6,72797700
0,40999999;2,11183600;6,72797700
0,41999999;2,11183600;6,72797700
0,42999999;2,11183600;6,72797700
0,43999999;2,11183600;6,72797700
0,44999999;2,11183600;6,72797700
0,45999999;2,11183600;6,72797700
0,46999999;2,11183600;6,72797700
0,47999999;2,11183600;6,81533000
0,48999999;2,11183600;6,72797700
0,49999999;2,11183600;6,81533000
0,50999999;2,02356100;6,72797700
0,51999999;2,11183600;6,81533000
0,52999999;2,11183600;6,72797700
0,53999999;2,02356100;6,81533000
0,54999999;2,11183600;6,81533000
0,55999999;2,02356100;6,81533000
0,56999999;2,02356100;6,81533000
0,57999999;2,11183600;6,81533000
0,58999999;2,02356100;6,81533000
0,59999998;2,02356100;6,81533000
0,60999998;2,02356100;6,81533000
0,61999998;2,02356100;6,81533000
0,62999998;2,11183600;6,81533000
0,63999998;2,11183600;6,81533000
0,64999998;2,02356100;6,81533000
0,65999998;2,02356100;6,81533000
0,66999998;2,02356100;6,81533000
0,67999998;2,11183600;6,81533000
0,68999998;2,02356100;6,81533000
0,69999998;2,02356100;6,81533000
0,70999998;2,02356100;6,90268200
0,71999998;2,02356100;6,81533000
0,72999998;2,02356100;6,90268200
0,73999998;2,02356100;6,81533000
0,74999998;2,02356100;6,90268200
0,75999998;2,02356100;6,90268200
0,76999998;2,02356100;6,90268200
0,77999998;2,02356100;6,81533000
0,78999998;2,02356100;6,90268200
0,79999998;2,02356100;6,90268200
0,80999998;2,02356100;6,90268200
0,81999998;2,02356100;6,90268200
0,82999998;2,02356100;6,90268200
0,83999998;2,02356100;6,90268200
0,84999998;2,02356100;6,90268200
0,85999998;2,02356100;6,90268200
0,86999998;2,02356100;6,90268200
0,87999998;1,93559300;6,90268200
0,88999998;2,02356100;6,90268200
0,89999998;2,02356100;6,90268200
0,90999998;2,02356100;6,90268200
0,91999998;2,02356100;6,90268200
0,92999998;2,02356100;6,90268200
0,93999998;1,93559300;6,90268200
0,94999998;1,93559300;6,90268200
0,95999998;1,93559300;6,90268200
0,96999998;1,93559300;6,90268200
0,97999998;1,93559300;6,90268200
0,98999997;1,93559300;6,90268200
0,99999997;1,93559300;6,90268200
1,00999997;1,93559300;6,90268200
1,01999997;1,93559300;6,90268200
1,02999997;1,93559300;6,81533000
1,03999997;1,93559300;6,90268200
1,04999997;1,93559300;6,90268200
1,05999997;1,93559300;6,90268200
1,06999997;1,93559300;6,90268200
1,07999997;1,93559300;6,90268200
1,08999997;1,93559300;6,90268200
1,09999997;1,93559300;6,90268200
1,10999997;1,93559300;6,90268200
1,11999997;1,93559300;6,90268200
1,12999997;1,93559300;6,90268200
1,13999997;1,93559300;6,90268200
1,14999997;1,93559300;6,90268200
1,15999997;1,93559300;6,81533000
1,16999997;1,93559300;6,90268200
1,17999997;1,93559300;6,81533000
1,18999997;1,84762500;6,81533000
1,19999997;1,93559300;6,90268200
1,20999997;1,93559300;6,90268200
1,21999997;1,93559300;6,90268200
1,22999997;1,93559300;6,90268200
1,23999997;1,84762500;6,81533000
1,24999997;1,84762500;6,81533000
