Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;4,22367100;2,70853800
0,01000000;4,22367100;2,70853800
0,02000000;4,22367100;2,70853800
0,03000000;4,22367100;2,62118600
0,04000000;4,22367100;2,62118600
0,05000000;4,22367100;2,62118600
0,06000000;4,22367100;2,62118600
0,07000000;4,22367100;2,62118600
0,08000000;4,22367100;2,53383400
0,09000000;4,22367100;2,53383400
0,10000000;4,22367100;2,53383400
0,11000000;4,22367100;2,53383400
0,12000000;4,13570400;2,53383400
0,13000000;4,22367100;2,53383400
0,14000000;4,22367100;2,53383400
0,15000000;4,13570400;2,44648100
0,16000000;4,13570400;2,44648100
0,17000000;4,22367100;2,44648100
0,18000000;4,13570400;2,44648100
0,19000000;4,13570400;2,44648100
0,19999999;4,22367100;2,35912900
0,20999999;4,13570400;2,35912900
0,21999999;4,13570400;2,35912900
0,22999999;4,13570400;2,35912900
0,23999999;4,13570400;2,35912900
0,24999999;4,13570400;2,35912900
0,25999999;4,13570400;2,27177700
0,26999999;4,13570400;2,27177700
0,27999999;4,13570400;2,27177700
0,28999999;4,13570400;2,27177700
0,29999999;4,13570400;2,27177700
0,30999999;4,13570400;2,18442400
0,31999999;4,13570400;2,18442400
0,32999999;4,13570400;2,18442400
0,33999999;4,13570400;2,18442400
0,34999999;4,13570400;2,18442400
0,35999999;4,13570400;2,18442400
0,36999999;4,13570400;2,18442400
0,37999999;4,13570400;2,09707200
0,38999999;4,13570400;2,09707200
0,39999999;4,13570400;2,09707200
0,40999999;4,13570400;2,09707200
0,41999999;4,13570400;2,09707200
0,42999999;4,13570400;2,00941200
0,43999999;4,13570400;2,00941200
0,44999999;4,04742900;2,00941200
0,45999999;4,13570400;2,00941200
0,46999999;4,04742900;2,00941200
0,47999999;4,13570400;1,92206000
0,48999999;4,04742900;2,00941200
0,49999999;4,04742900;1,92206000
0,50999999;4,04742900;1,92206000
0,51999999;4,04742900;1,92206000
0,52999999;4,04742900;1,92206000
0,53999999;4,04742900;1,92206000
0,54999999;4,04742900;1,92206000
0,55999999;4,04742900;1,83470700
0,56999999;4,04742900;1,83470700
0,57999999;4,04742900;1,83470700
0,58999999;4,04742900;1,83470700
0,59999998;4,04742900;1,83470700
0,60999998;4,04742900;1,74735500
0,61999998;4,04742900;1,83470700
0,62999998;4,04742900;1,74735500
0,63999998;4,04742900;1,74735500
0,64999998;4,04742900;1,74735500
0,65999998;3,95946100;1,74735500
0,66999998;4,04742900;1,66000200
0,67999998;4,04742900;1,66000200
0,68999998;4,04742900;1,66000200
0,69999998;4,04742900;1,66000200
0,70999998;4,04742900;1,66000200
0,71999998;4,04742900;1,66000200
0,72999998;3,95946100;1,66000200
0,73999998;4,04742900;1,66000200
0,74999998;4,04742900;1,66000200
0,75999998;3,95946100;1,57265000
0,76999998;3,95946100;1,57265000
0,77999998;3,95946100;1,57265000
0,78999998;3,95946100;1,57265000
0,79999998;3,95946100;1,57265000
0,80999998;3,95946100;1,57265000
0,81999998;3,95946100;1,48529800
0,82999998;3,95946100;1,48529800
0,83999998;3,95946100;1,48529800
0,84999998;3,95946100;1,48529800
0,85999998;3,95946100;1,48529800
0,86999998;3,95946100;1,48529800
0,87999998;3,95946100;1,48529800
0,88999998;3,95946100;1,48529800
0,89999998;3,95946100;1,39794500
0,90999998;3,95946100;1,48529800
0,91999998;3,95946100;1,39794500
0,92999998;3,95946100;1,39794500
0,93999998;3,95946100;1,39794500
0,94999998;3,95946100;1,39794500
0,95999998;3,95946100;1,39794500
0,96999998;3,95946100;1,39794500
0,97999998;3,95946100;1,39794500
0,98999997;3,95946100;1,31059300
0,99999997;3,95946100;1,31059300
1,00999997;3,95946100;1,31059300
1,01999997;3,95946100;1,31059300
1,02999997;3,95946100;1,31059300
1,03999997;3,95946100;1,31059300
1,04999997;3,95946100;1,31059300
1,05999997;3,95946100;1,31059300
1,06999997;3,95946100;1,31059300
1,07999997;3,87149400;1,31059300
1,08999997;3,87149400;1,22324100
1,09999997;3,87149400;1,31059300
1,10999997;3,87149400;1,22324100
1,11999997;3,95946100;1,22324100
1,12999997;3,87149400;1,22324100
1,13999997;3,87149400;1,22324100
1,14999997;3,87149400;1,22324100
1,15999997;3,87149400;1,22324100
1,16999997;3,87149400;1,22324100
1,17999997;3,87149400;1,22324100
1,18999997;3,87149400;1,22324100
1,19999997;3,87149400;1,22324100
1,20999997;3,87149400;1,13588800
1,21999997;3,87149400;1,22324100
1,22999997;3,87149400;1,13588800
1,23999997;3,87149400;1,13588800
1,24999997;3,87149400;1,13588800
