Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;4,04742900;7,68916100
0,01000000;4,04742900;7,68916100
0,02000000;3,95946100;7,68916100
0,03000000;3,95946100;7,68916100
0,04000000;3,95946100;7,68916100
0,05000000;4,04742900;7,68916100
0,06000000;3,95946100;7,68916100
0,07000000;4,04742900;7,68916100
0,08000000;4,04742900;7,68916100
0,09000000;4,04742900;7,68916100
0,10000000;4,04742900;7,68916100
0,11000000;4,04742900;7,68916100
0,12000000;4,04742900;7,68916100
0,13000000;4,04742900;7,68916100
0,14000000;4,04742900;7,68916100
0,15000000;4,04742900;7,68916100
0,16000000;4,04742900;7,68916100
0,17000000;4,04742900;7,68916100
0,18000000;4,04742900;7,68916100
0,19000000;4,04742900;7,68916100
0,19999999;4,04742900;7,68916100
0,20999999;4,04742900;7,68916100
0,21999999;4,04742900;7,68916100
0,22999999;4,04742900;7,60180900
0,23999999;4,04742900;7,60180900
0,24999999;4,04742900;7,68916100
0,25999999;4,04742900;7,60180900
0,26999999;4,04742900;7,60180900
0,27999999;4,13570400;7,60180900
0,28999999;4,04742900;7,60180900
0,29999999;4,04742900;7,60180900
0,30999999;4,04742900;7,60180900
0,31999999;4,04742900;7,60180900
0,32999999;4,04742900;7,60180900
0,33999999;4,04742900;7,60180900
0,34999999;4,13570400;7,60180900
0,35999999;4,13570400;7,60180900
0,36999999;4,13570400;7,60180900
0,37999999;4,13570400;7,60180900
0,38999999;4,13570400;7,60180900
0,39999999;4,13570400;7,51445600
0,40999999;4,13570400;7,51445600
0,41999999;4,13570400;7,51445600
0,42999999;4,13570400;7,51445600
0,43999999;4,13570400;7,51445600
0,44999999;4,13570400;7,51445600
0,45999999;4,13570400;7,51445600
0,46999999;4,13570400;7,51445600
0,47999999;4,13570400;7,51445600
0,48999999;4,13570400;7,51445600
0,49999999;4,13570400;7,51445600
0,50999999;4,13570400;7,51445600
0,51999999;4,13570400;7,42710400
0,52999999;4,13570400;7,42710400
0,53999999;4,13570400;7,51445600
0,54999999;4,13570400;7,42710400
0,55999999;4,13570400;7,42710400
0,56999999;4,13570400;7,42710400
0,57999999;4,13570400;7,42710400
0,58999999;4,13570400;7,42710400
0,59999998;4,22367100;7,42710400
0,60999998;4,22367100;7,42710400
0,61999998;4,22367100;7,42710400
0,62999998;4,13570400;7,42710400
0,63999998;4,22367100;7,33975100
0,64999998;4,22367100;7,33975100
0,65999998;4,13570400;7,33975100
0,66999998;4,13570400;7,33975100
0,67999998;4,22367100;7,33975100
0,68999998;4,22367100;7,33975100
0,69999998;4,13570400;7,33975100
0,70999998;4,22367100;7,33975100
0,71999998;4,22367100;7,33975100
0,72999998;4,22367100;7,33975100
0,73999998;4,22367100;7,25239900
0,74999998;4,22367100;7,25239900
0,75999998;4,22367100;7,25239900
0,76999998;4,22367100;7,25239900
0,77999998;4,22367100;7,25239900
0,78999998;4,22367100;7,25239900
0,79999998;4,22367100;7,25239900
0,80999998;4,22367100;7,25239900
0,81999998;4,22367100;7,16504700
0,82999998;4,22367100;7,16504700
0,83999998;4,22367100;7,16504700
0,84999998;4,22367100;7,16504700
0,85999998;4,22367100;7,16504700
0,86999998;4,22367100;7,16504700
0,87999998;4,22367100;7,16504700
0,88999998;4,31163900;7,07738700
0,89999998;4,31163900;7,07738700
0,90999998;4,22367100;7,07738700
0,91999998;4,22367100;7,07738700
0,92999998;4,31163900;7,07738700
0,93999998;4,31163900;7,07738700
0,94999998;4,22367100;7,07738700
0,95999998;4,31163900;6,99003500
0,96999998;4,31163900;6,99003500
0,97999998;4,31163900;6,99003500
0,98999997;4,22367100;6,99003500
0,99999997;4,22367100;6,99003500
1,00999997;4,31163900;6,99003500
1,01999997;4,31163900;6,90268200
1,02999997;4,31163900;6,90268200
1,03999997;4,31163900;6,90268200
1,04999997;4,31163900;6,90268200
1,05999997;4,31163900;6,90268200
1,06999997;4,31163900;6,90268200
1,07999997;4,31163900;6,90268200
1,08999997;4,31163900;6,81533000
1,09999997;4,31163900;6,81533000
1,10999997;4,31163900;6,81533000
1,11999997;4,31163900;6,81533000
1,12999997;4,31163900;6,81533000
1,13999997;4,31163900;6,81533000
1,14999997;4,31163900;6,81533000
1,15999997;4,31163900;6,72797700
1,16999997;4,31163900;6,72797700
1,17999997;4,31163900;6,72797700
1,18999997;4,31163900;6,72797700
1,19999997;4,31163900;6,72797700
1,20999997;4,31163900;6,64062500
1,21999997;4,31163900;6,64062500
1,22999997;4,31163900;6,64062500
1,23999997;4,39960600;6,64062500
1,24999997;4,31163900;6,64062500
